14	0.365	0.000	0.0	0	0	0	0
15	0.365	1.335	0.0	0	0	0	0
30	0.365	2.865	0.0	0	0	0	0
31	0.365	4.200	0.0	0	0	0	0
12	0.365	0.000	1.8	0	0	0	0
13	0.365	1.335	1.8	0	0	0	0
28	0.365	2.865	1.8	0	0	0	0
29	0.365	4.200	1.8	0	0	0	0
10	0.365	0.000	3.6	0	0	0	0
11	0.365	1.335	3.6	0	0	0	0
26	0.365	2.865	3.6	0	0	0	0
27	0.365	4.200	3.6	0	0	0	0
8	0.365	0.000	5.4	0	0	0	0
9	0.365	1.335	5.4	0	0	0	0
24	0.365	2.865	5.4	0	0	0	0
25	0.365	4.200	5.4	0	0	0	0
6	0.365	0.000	7.2	0	0	0	0
7	0.365	1.335	7.2	0	0	0	0
22	0.365	2.865	7.2	0	0	0	0
23	0.365	4.200	7.2	0	0	0	0
4	0.365	0.000	9.0	0	0	0	0
5	0.365	1.335	9.0	0	0	0	0
20	0.365	2.865	9.0	0	0	0	0
21	0.365	4.200	9.0	0	0	0	0
2	0.365	0.000	10.8	0	0	0	0
3	0.365	1.335	10.8	0	0	0	0
18	0.365	2.865	10.8	0	0	0	0
19	0.365	4.200	10.8	0	0	0	0
1	0.365	0.000	12.6	0	0	0	0
0	0.365	1.335	12.6	0	0	0	0
16	0.365	2.865	12.6	0	0	0	0
