34	0.33	0	0	0	0	0	0
37	0.33	0.74	0	0	0	0	0
100	0.05	0.37	0.2	0	0	0	0
6	0.10	0.37	0.39	0	0	0	0
25	0.33	0	0.54	0	0	0	0
28	0.33	0.74	0.54	0	0	0	0
32	0.33	2.74	-0.11	1.20	0	0	0
29	0.33	2.41	0.69	1.20	0	0	0
30	0.33	0	2.3	0.05	0	0	0
31	0.33	0	2.94	0.05	0	0	0
27	0.33	0.74	2.3	0.05	0	0	0
26	0.33	0.74	2.94	0.05	0	0	0
43	0.33	2.39	2.13	0.8	0	0	0
42	0.33	2.39	3.03	0.8	0	0	0
40	0.33	3.32	2.13	0.8	0	0	0
41	0.33	3.32	3.03	0.8	0	0	0
44	0.33	5.37	3.01	0.05	0	0	0
36	0.33	4.76	-0.18	0.3	0	0	0
35	0.33	5.36	-0.18	0.3	0	0	0
33	0.33	5.2	0.61	0.3	0	0	0
